	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
c23241	0	0	14	9	7	-1	0	38	0	-1	0	-1	0	8	-1	0	23	0	0	10	0	0	19	-1	24	0	-1	-1	-1	0
c23328	-1	-1	-1	0	0	-1	36	-1	0	22	-1	-1	0	0	0	49	-1	5	39	0	0	0	-1	0	21	7	-1	-1	-1	0
c23416	-1	0	0	-1	38	0	0	0	0	0	23	-1	0	0	-1	-1	48	0	12	0	0	-1	-1	0	47	7	23	0	0	0
c23470	4	0	-1	0	0	0	0	-1	32	0	0	-1	-1	-1	0	-1	0	-1	0	0	-1	-1	36	-1	21	17	-1	0	37	50
c23521	0	0	0	0	43	19	0	0	0	0	0	-1	0	26	0	-1	23	-1	45	13	0	0	-1	0	-1	41	-1	0	0	0
c23583	32	-1	-1	0	-1	0	0	-1	0	0	0	0	0	13	-1	-1	4	0	0	-1	-1	0	9	-1	1	33	-1	0	38	-1
c23721	-1	0	21	-1	0	39	33	0	0	0	0	0	-1	-1	-1	49	0	0	0	0	0	0	0	0	-1	32	0	0	0	39
c23728	0	0	17	0	13	-1	0	0	0	-1	0	47	-1	0	0	-1	-1	0	-1	-1	43	0	19	32	-1	0	-1	-1	32	19
c23744	0	0	43	0	-1	0	7	-1	0	0	0	-1	0	0	0	49	30	31	0	-1	0	0	-1	13	-1	0	0	0	-1	0
c23758	0	34	-1	23	0	32	0	-1	0	0	0	15	0	13	0	0	-1	-1	0	0	0	-1	0	0	12	0	0	7	38	15
c23793	39	0	0	0	0	0	0	-1	-1	0	0	-1	-1	-1	0	49	-1	0	0	0	-1	0	36	32	21	-1	-1	0	2	-1
c23876	32	13	44	0	-1	16	0	0	0	9	-1	37	-1	0	0	0	4	0	0	13	-1	-1	0	0	0	-1	0	7	38	15
c23951	-1	1	0	1	-1	15	-1	0	1	-1	0	0	0	0	0	0	-1	0	0	29	0	0	32	0	24	0	2	20	0	0
c24051	0	0	0	0	0	19	0	0	29	0	0	0	0	-1	-1	0	0	49	-1	0	0	17	19	12	-1	-1	0	0	0	0
c24057	0	0	0	0	0	0	0	-1	0	0	-1	-1	32	-1	19	49	7	-1	50	0	10	0	7	-1	21	0	0	0	0	0
c24107	0	0	12	0	-1	-1	0	-1	0	-1	0	-1	0	0	32	-1	1	0	0	-1	-1	32	0	-1	-1	0	0	0	2	-1
c24199	35	0	0	25	0	0	5	0	0	0	0	13	-1	0	0	36	1	0	0	0	29	2	-1	0	-1	-1	0	10	0	0
c24278	-1	-1	0	0	1	-1	0	-1	0	0	0	-1	-1	0	-1	49	0	0	50	0	-1	0	36	38	21	0	44	0	-1	50
c24327	0	-1	44	0	0	0	0	0	-1	32	37	0	-1	-1	17	0	4	19	-1	0	0	0	0	-1	0	0	0	0	-1	15
c24398	0	-1	44	0	0	0	0	7	20	-1	0	0	32	0	0	0	4	-1	0	11	0	-1	0	0	19	0	0	0	38	15
c24462	-1	-1	0	19	-1	0	9	0	1	0	-1	-1	0	32	0	0	1	-1	0	0	15	0	-1	0	38	0	-1	0	0	0
c24504	-1	0	33	-1	12	0	0	0	32	-1	-1	-1	36	-1	19	0	0	-1	0	-1	0	0	-1	38	38	0	0	0	0	-1
c24505	0	0	0	0	12	-1	0	-1	32	-1	23	-1	36	0	19	0	0	0	-1	13	0	-1	0	-1	38	0	0	7	0	-1
c24599	39	0	0	0	-1	0	-1	-1	0	-1	1	-1	0	0	0	49	0	0	-1	0	-1	-1	36	32	-1	0	-1	-1	0	-1
