tree_index	node_name	label
9	node132	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
1	node133	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
11	node133	{'NMPs', 'Somite', 'NeuralTube'}
4	node133	{'NeuralTube', 'Somite'}
5	node133	{'NMPs', 'Somite', 'NeuralTube'}
0	node134	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
1	node134	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
11	node134	{'NeuralTube', 'Somite'}
13	node134	{'NMPs', 'Somite', 'NeuralTube'}
0	node135	{'NMPs', 'Somite', 'NeuralTube'}
1	node135	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
11	node135	{'NMPs', 'Somite', 'NeuralTube'}
13	node135	{'NMPs', 'Somite', 'NeuralTube'}
4	node135	{'NeuralTube', 'Somite'}
5	node135	{'NMPs', 'Somite', 'NeuralTube'}
0	node136	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
11	node136	{'NeuralTube', 'Somite'}
13	node136	{'NeuralTube', 'Somite'}
8	node136	{'NMPs', 'Somite', 'NeuralTube'}
0	node137	{'NeuralTube', 'Somite'}
1	node137	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
2	node137	{'NMPs', 'Somite', 'NeuralTube'}
5	node137	{'NMPs', 'Somite', 'NeuralTube'}
8	node137	{'NMPs', 'Somite', 'NeuralTube'}
0	node138	{'NeuralTube', 'Somite'}
1	node138	{'NeuralTube', 'Somite'}
13	node138	{'NMPs', 'Somite', 'NeuralTube'}
0	node139	{'NMPs', 'Somite', 'NeuralTube'}
1	node139	{'NMPs', 'Somite', 'NeuralTube'}
11	node139	{'NeuralTube', 'Somite'}
13	node139	{'NeuralTube', 'Somite'}
2	node139	{'NMPs', 'Somite', 'NeuralTube'}
5	node139	{'NMPs', 'Somite', 'NeuralTube'}
1	node14	{'NeuralTube', 'Somite'}
10	node14	{'NMPs', 'Somite', 'NeuralTube'}
12	node14	{'NMPs', 'Somite', 'NeuralTube'}
2	node14	{'NMPs', 'Somite', 'NeuralTube'}
3	node14	{'NMPs', 'Somite', 'NeuralTube'}
